id,login,name,password_hash,telegram_nick
dad55ad0-b517-4ef5-bccc-82e5733c1204,island_guest01,Island Guest 01,$2b$12$1UDJYGJXKJjlGzE/1Z6Fn.Pg.6oCgEfVZTPbgQL98zt1p4XpicXM6,island_guest01_tg
a2bb2ad5-acfb-4256-a7c8-6cb9f776a77a,island_guest02,Island Guest 02,$2b$12$1UDJYGJXKJjlGzE/1Z6Fn.Pg.6oCgEfVZTPbgQL98zt1p4XpicXM6,island_guest02_tg
fffa6a90-7916-4416-b645-1362cfa6f385,island_guest03,Island Guest 03,$2b$12$1UDJYGJXKJjlGzE/1Z6Fn.Pg.6oCgEfVZTPbgQL98zt1p4XpicXM6,island_guest03_tg
e9258ace-ca49-4c80-af29-4fb9cb817025,island_guest04,Island Guest 04,$2b$12$1UDJYGJXKJjlGzE/1Z6Fn.Pg.6oCgEfVZTPbgQL98zt1p4XpicXM6,island_guest04_tg
c53d32f3-4ab6-49af-97ce-e0719f16bf6e,island_guest05,Island Guest 05,$2b$12$1UDJYGJXKJjlGzE/1Z6Fn.Pg.6oCgEfVZTPbgQL98zt1p4XpicXM6,island_guest05_tg
f2d7d95a-f9a2-445d-9162-acaef209e0b5,island_guest06,Island Guest 06,$2b$12$1UDJYGJXKJjlGzE/1Z6Fn.Pg.6oCgEfVZTPbgQL98zt1p4XpicXM6,island_guest06_tg
d7841e9c-9504-45ef-b7f3-704c67d89fa3,island_guest07,Island Guest 07,$2b$12$1UDJYGJXKJjlGzE/1Z6Fn.Pg.6oCgEfVZTPbgQL98zt1p4XpicXM6,island_guest07_tg
3da241a1-4e61-4646-871e-7f66e67d6705,island_guest08,Island Guest 08,$2b$12$1UDJYGJXKJjlGzE/1Z6Fn.Pg.6oCgEfVZTPbgQL98zt1p4XpicXM6,island_guest08_tg
287632a5-d5fb-4497-9468-114c847c36a0,island_guest09,Island Guest 09,$2b$12$1UDJYGJXKJjlGzE/1Z6Fn.Pg.6oCgEfVZTPbgQL98zt1p4XpicXM6,island_guest09_tg
fb266130-1099-4ddb-a1ab-04f519b1c58b,island_guest10,Island Guest 10,$2b$12$1UDJYGJXKJjlGzE/1Z6Fn.Pg.6oCgEfVZTPbgQL98zt1p4XpicXM6,island_guest10_tg
858f423e-6301-4d03-a784-6c0b3888cb60,palm_contact01,Palm Beach Contact 01,$2b$12$1UDJYGJXKJjlGzE/1Z6Fn.Pg.6oCgEfVZTPbgQL98zt1p4XpicXM6,palm_contact01_tg
